City,2016,2015,2014,2013,2012,2011
Beijing,1339.3,1324.9,1306.9,1287.7,1267.9,1251.81
Tianjin,1021.78,1010.3,998.6,994.8,990.7,982.35
Shijiazhuang,1026.89,1020.1,1004.2,1001.3,993.2,983.29
Tangshan,754.06,750.3,740.3,739.4,736,734.45
Qinhuangdao,295.34,293.9,292,290.5,289.1,287.77
Handan,1039.59,1020.7,993.5,986.5,971.7,953.2
Xingtai,727.54,767.9,755.3,717.2,734.5,725.33
Baoding,1152.1,1145.3,1168,1166.4,1160.9,1158.15
Zhangjiakou,468.79,467.8,467.6,467.9,466.7,464.14
Chengde,381.54,379.4,377.5,375.6,373.6,372.43
Cangzhou,771.36,758.5,749.3,739.6,732.9,724.19
Langfang,455.27,436.4,427.8,429.1,422,416.18
Hengshui,452.41,450.3,445,442,440.9,438.23
Taiyuan,368.57,368.6,366.7,365.4,365.3,365.31
Datong,317.53,338.3,336.6,319.1,318.2,316.56
Yangquan,132.67,133,132.4,131.8,131.1,130.52
Changzhi,341.24,338.9,337.9,335.2,334.6,330.58
Jincheng,219.18,218.9,218.8,217.9,216.9,216.38
Shuozhou,175.81,174.9,173.9,173,172.3,158.22
Jinzhong,330.08,331,327.7,324.1,326.1,320.48
Yuncheng,510.2,525.2,520.9,518.1,515.3,503.65
Xinzhou,313.49,312,310.7,310.1,308.8,307.23
Linfen,429.78,428.1,426.2,432.7,438.7,437.18
Lvliang,382.27,392.3,378.2,376.2,361,372.37
Hohhot,238.28,236,232.1,229.1,230.9,228.47
Baotou,223.79,224.4,224.2,222.6,220.8,219.7
Wuhai,55.5,55.4,55.1,54.5,53.8,50.5
Chifeng,464.22,430.5,431,431.6,431,433.46
Tongliao,319.4,320.3,320.5,319.9,319.4,318.78
Erdos,156.64,155.1,153.2,155.1,153.3,150.93
Hulunbuir,262.59,259.6,253.3,268.4,270.9,271.53
Bayannur,176.65,180.9,185,176.8,176.6,174.67
Ulanqab,275.42,280.1,285.1,287.9,288,288.32
Shenyang,730.62,729,726,723.7,721.2,718.08
Dalian,593.93,592.9,590.9,589.4,587.5,585.62
Anshan,347.12,349,350.1,351,351.7,351.91
Fushun,216.57,217.7,218.6,219.7,220.5,221.76
Benxi,151.62,152.2,152.8,153.8,154.5,155.03
Dandong,238.81,239.6,240.1,240.8,241.2,242
Jinzhou,303.92,305.6,306.9,308.1,308.3,309.27
Yingkou,232.95,232.9,233.8,235.3,235.5,235.29
Fuxin,190.24,191.1,191.3,191.8,192.2,192.33
Liaoyang,179.41,179.9,180.2,181.4,182.9,183.4
Panjin,129.39,129.1,128.9,130,131.2,130.63
Tieling,301.21,302,302,303.6,305,305.6
Chaoyang,340.77,340.1,340.1,340.8,340.1,340.89
