数据库：主要城市年度数据,,,,,
指标：在岗职工平均工资(元),,,,,
时间：最近5年,,,,,
地区,2015年,2014年,2013年,2012年,2011年
北京,113073,103400,93997,85306,75835
天津,81486,73839,68864,65398,55636
石家庄,54441,48272,43712,38426,35132
太原,60516,57771,51161,48905,44868
呼和浩特,53698,50469,48797,65637,42797
沈阳,61827,56590,52389,49898,45756
大连,69390,63609,58946,54821,49728
长春,62519,56977,52220,46673,41471
哈尔滨,58405,51554,47150,41773,36450
上海,109279,100623,91477,80191,77031
南京,81075,77286,66222,63152,54712
杭州,77816,70823,64958,56418,54408
宁波,74989,70228,63362,56255,49756
合肥,65806,59648,54177,50724,45442
福州,62478,58838,53420,48088,42240
厦门,66930,63062,61754,52673,46414
南昌,57730,51848,46892,43769,39816
济南,68997,62323,55840,48829,44004
青岛,69465,62097,55334,49052,43162
郑州,52987,49756,45066,40472,35756
武汉,65720,60624,53684,48942,45644
长沙,67266,61847,56215,50905,44495
广州,81171,74246,73678,67515,57474
深圳,81034,73492,77721,59010,55142
南宁,66749,54330,49806,44144,40119
海口,57455,50653,45058,40486,38060
重庆,62091,56852,51015,45392,40042
成都,69123,63201,84724,48302,42363
贵阳,63949,59330,50654,42662,38673
昆明,62033,58153,51119,45094,41645
拉萨,114582,72468,69403,65150,55740
西安,63193,54098,54388,46688,41679
兰州,62201,54008,49424,44488,38968
西宁,58099,54914,47343,44086,38443
银川,65643,59080,56565,54274,49938
乌鲁木齐,67617,61617,56680,51135,47178
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。,,,,,
数据来源：国家统计局,,,,,
