数据库：主要城市年度数据,,,,,
指标：住宅商品房平均销售价格(元/平方米),,,,,
时间：最近5年,,,,,
地区,2015年,2014年,2013年,2012年,2011年
北京,22300,18499,17854,16553.48,15517.9
天津,9931,8828,8390,8009.58,8547.64
石家庄,7798,5562,4943,4713.54,4352.15
太原,7303,7155,6668,6404.74,6517.47
呼和浩特,4946,5153,4631,4798.17,4073.32
沈阳,6416,5865,6074,5989.45,5612.96
大连,8711,8921,7859,7583.97,7928.98
长春,6374,5847,5729,5273.35,5969.66
哈尔滨,6124,5751,5884,5112.85,5216.66
上海,21501,16415,16192,13869.88,13565.83
南京,11260,10964,11078,9674.84,8414.62
杭州,14748,14035,14679,13291.65,12748.62
宁波,11022,10890,11405,11385.25,11285.64
合肥,7512,6917,6084,5754.31,5607.55
福州,11333,10105,10155,10644.52,9553.18
厦门,18928,17778,14551,12953.38,13422.59
南昌,6955,6225,6639,5879.99,5322.66
济南,7527,7158,7013,6650.56,6663.89
青岛,8437,7855,7987,7583.36,7166.19
郑州,7223,6579,6587,5643.07,4692.29
武汉,8404,7399,7238,6895.35,6675.99
长沙,5544,5458,5759,5602.51,5481.49
广州,14083,14739,13954,12000.88,10925.84
深圳,33661,24040,23427,18995.92,21037.05
南宁,6229,6103,6155,5618.65,4995.89
海口,7636,7473,7342,6512.03,6641.27
重庆,5012,5094,5239,4804.8,4492.3
成都,6584,6536,6708,6678.46,6360.89
贵阳,4967,4904,4488,4472.69,4587.98
昆明,7178,6067,5615,5404.9,4550.12
拉萨,,,,,
西安,6221,6105,6435,6224.03,5829.79
兰州,6089,5860,5520,5420.67,4229.09
西宁,4602,4807,4380,4304.29,3438.6
银川,4498,4111,4524,4187.26,3979.62
乌鲁木齐,6142,5758,5858,5255.04,4969.78
数据来源：国家统计局,,,,,
