数据库：主要城市年度数据,,,,,
指标：房地产开发投资额(亿元),,,,,
时间：最近5年,,,,,
地区,2015年,2014年,2013年,2012年,2011年
北京,4177.05,3715.33,3483.4,3153.44,3036.31
天津,1871.55,1699.65,1480.82,1260,1080.25
石家庄,965.13,1025.33,928.15,833.21,789.14
太原,597.83,469.68,416.23,359.24,310.55
呼和浩特,509.05,563.13,581.68,447.99,330.03
沈阳,1337.66,1975.82,2184.01,1942.96,1684.72
大连,897.46,1429.34,1710.36,1396.52,1107.46
长春,501.32,532.57,611.78,649.65,666.42
哈尔滨,593.98,686.66,857.94,789.04,570.46
上海,3468.94,3206.48,2819.59,2381.36,2253.83
南京,1429.02,1125.49,1037.71,971.96,871.76
杭州,2472.6,2301.98,1853.28,1597.36,1201.51
宁波,1228.84,1328.14,1123.14,884.35,711.46
合肥,1259.14,1127.35,1105.81,913.8,889.6
福州,1381.12,1455.07,1264.79,972.27,963.41
厦门,774.07,704.06,531.8,518.88,438.12
南昌,485.37,414.07,406.14,344.36,279.89
济南,1014.4,917.54,721.77,664.01,528.92
青岛,1122.35,1117.73,1048.52,932.1,785.82
郑州,2000.2,1743.51,1445.33,1095.14,926.31
武汉,2581.79,2353.63,1905.6,1574.86,1282.25
长沙,1006.84,1313.62,1157.63,1034.35,926.01
广州,2137.59,1816.15,1572.43,1370.45,1305.56
深圳,1331.03,1069.49,876.9,736.84,514.74
南宁,657.19,551.82,416.37,362.73,392.42
海口,456.39,300.47,256.4,175.66,144.64
重庆,3751.28,3630.23,3012.78,2508.35,2015.1
成都,2435.25,2215.53,2111.25,1889.23,1588.22
贵阳,1001.03,1010.38,978.02,901.03,460.49
昆明,1451.31,1492.62,1291.71,919.07,633.03
拉萨,,,,,
西安,1820.85,1742.28,1572.65,1269.93,996.12
兰州,320.56,317.08,257.44,209.74,154.84
西宁,280.43,246.86,195.58,160.14,118.55
银川,409.17,388.9,330.81,275.7,214.78
乌鲁木齐,366.87,329.98,270.59,220.69,194.29
数据来源：国家统计局,,,,,
