数据库：主要城市年度数据,,,,,
指标：社会商品零售总额(亿元),,,,,
时间：最近5年,,,,,
地区,2015年,2014年,2013年,2012年,2011年
北京,10338,9638,8872.1,8123.5,7222.2
天津,5257.3,4738.7,4470.4,3921.4,3395.1
石家庄,2693,2423.5,1972.4,1915.8,1663
太原,1540.8,1450.2,1281.5,1129.5,973.3
呼和浩特,1353.5,1256.1,1142.4,1022.2,890
沈阳,3883.2,3570.1,3186.1,2802.2,2426.9
大连,3087.5,2828.4,2526.5,2224,1924.8
长春,2409.3,2217.5,1970,1739.6,1515.9
哈尔滨,3394.5,3070.9,2728.3,2394.6,2070.4
上海,10131.5,9303.5,8557,7840.4,7185.8
南京,4590.2,4167.2,3531.7,3103.8,2697.1
杭州,4697.2,4201.5,3531.2,2944.6,2548.4
宁波,3349.6,2992,2635.7,2329.3,2018.9
合肥,2183.7,1666.8,1480.8,1293.6,1111.1
福州,3488.7,3062.9,2681.7,2319.8,1947.8
厦门,1168.4,1072.3,974.5,881.9,800.3
南昌,1662.9,1304.9,1132.8,995.1,928.3
济南,3410.3,3087.6,2743.4,2420.2,2114.3
青岛,3713.7,3361.7,2986.8,2635.6,2302.4
郑州,3294.7,2913.6,2586.4,2289.9,1987.1
武汉,5102.2,4369.3,3916.6,3432.4,3031.8
长沙,3690.6,3162.1,2802,2521.7,2201.6
广州,7988,7144.5,6882.8,5977.3,5243
深圳,5017.8,4844,4433.6,4008.8,3520.9
南宁,1786.7,1616.9,1450.8,1255.6,1073.2
海口,595.5,541.3,490.1,436.3,387.2
重庆,6424,5710.7,5055.8,4403,3782.3
成都,4946.2,4468.9,3752.9,3317.7,2861.3
贵阳,1060.2,888.6,785.7,683.2,584.3
昆明,1937,1905.9,1702.3,1493.8,1271.7
拉萨,205.8,180.3,144.1,124.6,102.6
西安,3405.4,3093.9,2548,2263.9,1966
兰州,1152.1,944.9,843.9,749.1,639.7
西宁,461.9,414.1,317.5,317.5,271.3
银川,477.6,382.5,348.1,316,274.5
乌鲁木齐,1151.5,1070,970,834.4,695
数据来源：国家统计局,,,,,
